1639076016.00252,-1,59,8,None,None
1639076019.15892,-1,60,8,47,47
1639076016.00252,-1,59,8,None,None
1639076019.15892,-1,60,8,47,47
1639076022.15906,-52,14,33,15,26
1639076016.00252,-1,59,8,None,None
1639076019.15892,-1,60,8,47,47
1639076022.15906,-52,14,33,15,26
1639076025.1592,9,-19,61,-15,-14
1639076016.00252,-1,59,8,None,None
1639076019.15892,-1,60,8,47,47
1639076022.15906,-52,14,33,15,26
1639076025.1592,9,-19,61,-15,-14
1639076028.15933,27,29,44,23,18
1639076016.00252,-1,59,8,None,None
1639076019.15892,-1,60,8,47,47
1639076022.15906,-52,14,33,15,26
1639076025.1592,9,-19,61,-15,-14
1639076028.15933,27,29,44,23,18
1639076031.15947,-4,50,30,38,39
1639076016.00252,-1,59,8,None,None
1639076019.15892,-1,60,8,47,47
1639076022.15906,-52,14,33,15,26
1639076025.1592,9,-19,61,-15,-14
1639076028.15933,27,29,44,23,18
1639076031.15947,-4,50,30,38,39
1639076034.15961,-9,63,2,45,49
