Time (UNIX),Acc_x (1/64g),Acc_y (1/64g),Acc_z (1/64g),Left_Speed,Right_Speed,Comments
,,,,,,
1639348515,25,52,-1,41,33,
,,,,,,
1639348516,34,48,0,38,28,
,,,,,,
1639348517,-19,-29,49,-20,-23,
,,,,,,
1639348518,-4,-37,53,-28,-29,
,,,,,,
1639348519,1,-54,18,-42,-42,
,,,,,,
1639348520,-4,-60,7,-45,-47,
,,,,,,
1639348521,-4,-65,8,-49,-51,
,,,,,,
1639348522,-3,-64,9,-49,-50,
,,,,,,
1639348523,-1,-66,2,-52,-52,
,,,,,,
1639348524,-9,-62,4,-45,-48,
,,,,,,
1639348525,1,-58,3,-45,-45,
,,,,,,
1639348526,5,55,37,43,41,
,,,,,,
1639348527,6,59,-1,46,44,
,,,,,,
1639348528,53,30,-19,32,19,
,,,,,,
1639348529,56,16,-24,28,16,
,,,,,,
1639348530,55,20,-24,29,17,
,,,,,,
1639348531,59,5,-24,25,13,
,,,,,,
1639348532,58,2,-24,23,13,
,,,,,,
1639348533,59,1,-25,23,12,
,,,,,,
1639348534,60,6,-22,26,14,
,,,,,,
1639348535,59,15,-15,29,16,
,,,,,,
1639348536,0,-9,59,-7,-7,
,,,,,,
1639348537,4,-17,59,-13,-13,
,,,,,,
1639348538,8,-7,62,-6,-6,
,,,,,,
1639348539,6,2,64,3,3,
,,,,,,
1639348540,7,5,64,5,5,
,,,,,,
1639348541,-3,-1,59,-2,-2,
,,,,,,
1639348542,5,31,51,24,23,
,,,,,,
1639348543,5,52,37,41,39,
,,,,,,
1639348544,5,49,35,38,37,
,,,,,,
1639348545,-1,18,65,14,14,
,,,,,,
1639348546,5,-36,58,-28,-27,
,,,,,,
1639348547,5,-43,48,-34,-33,
,,,,,,
1639348548,6,-30,57,-23,-22,
,,,,,,
1639348549,5,12,62,9,9,
,,,,,,
1639348550,7,16,61,12,11,
,,,,,,
1639348551,2,20,58,16,16,
,,,,,,
1639348552,-16,34,49,24,27,
,,,,,,
1639348553,-35,37,31,21,29,
,,,,,,
1639348554,-47,37,23,21,33,
,,,,,,
1639348555,-49,32,20,20,32,
,,,,,,
1639348556,-50,33,21,20,32,
,,,,,,
1639348557,-2,38,48,30,30,
,,,,,,
1639348558,-4,6,56,5,5,
,,,,,,
1639348559,10,-23,64,-18,-17,
,,,,,,
1639348560,5,-14,64,-11,-11,
,,,,,,
1639348561,5,14,59,11,11,
,,,,,,
1639348562,3,60,-2,47,46,
,,,,,,
1639348563,15,57,-1,45,40,
,,,,,,
1639348564,53,29,0,32,19,
,,,,,,
1639348565,45,38,12,32,21,
,,,,,,
1639348566,47,39,16,34,22,
,,,,,,
1639348567,49,36,15,33,20,
,,,,,,
1639348568,48,35,17,32,20,
,,,,,,
1639348569,36,16,47,20,14,
,,,,,,
