Time (UNIX),Acc_x (1/64g),Acc_y (1/64g),Acc_z (1/64g),Left_Speed,Right_Speed,Comments
1639348684,54,5,35,23,13,
,,,,,,
1639348684,53,5,35,23,13,
,,,,,,
1639348684,54,5,35,23,13,
,,,,,,
1639348684,53,3,34,22,13,
,,,,,,
1639348684,52,4,34,22,13,
,,,,,,
1639348685,54,3,34,22,13,
,,,,,,
1639348685,52,4,35,22,13,
,,,,,,
1639348685,53,4,36,22,13,
,,,,,,
1639348685,52,4,36,22,13,
,,,,,,
1639348685,53,6,36,23,13,
,,,,,,
1639348685,52,8,36,23,14,
,,,,,,
1639348685,53,7,36,23,13,
,,,,,,
1639348686,52,7,36,23,14,
,,,,,,
1639348686,52,10,36,24,14,
,,,,,,
1639348686,51,17,34,27,16,
,,,,,,
1639348686,50,17,32,26,16,
,,,,,,
1639348686,50,20,32,27,16,
,,,,,,
1639348686,50,22,32,28,17,
,,,,,,
1639348686,50,23,31,29,18,
,,,,,,
1639348686,51,22,31,29,17,
,,,,,,
1639348687,50,22,31,28,17,
,,,,,,
1639348687,50,22,31,28,17,
,,,,,,
1639348687,50,23,31,29,18,
,,,,,,
1639348687,50,23,31,29,18,
,,,,,,
1639348687,49,23,31,28,17,
,,,,,,
1639348687,50,23,31,29,18,
,,,,,,
1639348687,50,23,31,29,18,
,,,,,,
1639348687,50,24,31,29,18,
,,,,,,
1639348687,50,23,31,29,18,
,,,,,,
1639348688,49,23,31,28,17,
,,,,,,
1639348688,49,23,31,28,17,
,,,,,,
1639348688,49,23,31,28,17,
,,,,,,
1639348688,57,38,53,37,21,
,,,,,,
1639348688,54,31,54,33,19,
,,,,,,
1639348688,10,-33,47,-26,-24,
,,,,,,
1639348688,10,-60,24,-47,-43,
,,,,,,
1639348688,8,-55,17,-43,-40,
,,,,,,
1639348689,5,-65,-11,-51,-49,
,,,,,,
1639348689,3,-61,-11,-48,-47,
,,,,,,
1639348689,6,-62,-13,-48,-46,
,,,,,,
1639348689,4,-64,-13,-50,-48,
,,,,,,
1639348689,4,-60,-9,-47,-45,
,,,,,,
1639348689,6,-64,-7,-50,-48,
,,,,,,
1639348689,5,-64,-6,-50,-48,
,,,,,,
1639348690,4,-63,-6,-49,-47,
,,,,,,
1639348690,5,-62,-3,-48,-46,
,,,,,,
1639348690,5,-62,-4,-48,-46,
,,,,,,
1639348690,4,-65,-3,-51,-49,
,,,,,,
1639348690,4,-64,-3,-50,-48,
,,,,,,
1639348690,6,-64,-2,-50,-48,
,,,,,,
1639348690,7,-64,-2,-50,-47,
,,,,,,
1639348690,9,-64,0,-50,-46,
,,,,,,
1639348690,8,-62,1,-48,-45,
,,,,,,
1639348690,7,-63,1,-49,-46,
,,,,,,
1639348691,9,-63,2,-49,-45,
,,,,,,
1639348691,7,-65,1,-51,-48,
,,,,,,
1639348691,8,-63,2,-49,-46,
,,,,,,
1639348691,11,-62,2,-48,-44,
,,,,,,
1639348691,9,-69,2,-54,-50,
,,,,,,
1639348691,11,-64,4,-50,-46,
,,,,,,
1639348691,2,-56,29,-44,-43,
,,,,,,
1639348692,3,-11,62,-9,-9,
,,,,,,
1639348692,6,-4,63,-4,-4,
,,,,,,
1639348692,4,21,61,16,15,
,,,,,,
1639348692,10,24,58,19,18,
,,,,,,
1639348692,9,22,53,17,16,
,,,,,,
1639348692,12,21,58,16,14,
,,,,,,
1639348692,7,24,60,19,18,
,,,,,,
1639348692,10,25,58,20,18,
,,,,,,
1639348693,8,20,58,16,15,
,,,,,,
1639348693,10,21,58,16,15,
,,,,,,
1639348693,12,21,60,16,14,
,,,,,,
1639348693,12,20,58,16,14,
,,,,,,
1639348693,14,19,59,15,13,
,,,,,,
1639348693,13,19,59,15,14,
,,,,,,
1639348693,11,20,61,16,15,
,,,,,,
1639348693,10,14,64,11,10,
,,,,,,
1639348693,11,12,64,9,8,
,,,,,,
1639348694,5,12,64,9,9,
,,,,,,
1639348694,8,7,62,6,6,
,,,,,,
1639348694,7,6,63,5,5,
,,,,,,
1639348694,6,6,64,5,5,
,,,,,,
1639348694,6,5,62,4,4,
,,,,,,
1639348694,6,4,64,4,4,
,,,,,,
1639348694,6,4,63,4,4,
,,,,,,
1639348695,7,4,64,4,4,
,,,,,,
1639348695,7,4,64,4,4,
,,,,,,
1639348695,7,4,64,4,4,
,,,,,,
1639348695,7,2,64,4,4,
,,,,,,
1639348695,7,0,64,3,3,
,,,,,,
1639348695,7,1,65,3,3,
,,,,,,
1639348695,6,4,61,4,4,
,,,,,,
1639348695,5,4,63,4,4,
,,,,,,
1639348696,3,-2,61,-2,-2,
,,,,,,
1639348696,5,1,61,2,2,
,,,,,,
1639348696,5,1,61,2,2,
,,,,,,
1639348696,5,0,63,2,2,
,,,,,,
1639348696,7,5,67,5,5,
,,,,,,
1639348696,8,3,63,4,4,
,,,,,,
1639348696,7,3,64,4,4,
,,,,,,
1639348696,6,4,64,4,4,
,,,,,,
1639348697,6,1,62,3,3,
,,,,,,
1639348697,7,3,64,4,4,
,,,,,,
1639348697,5,3,64,3,3,
,,,,,,
1639348697,5,3,64,3,3,
,,,,,,
1639348697,6,3,63,4,4,
,,,,,,
1639348697,6,4,66,4,4,
,,,,,,
1639348697,6,3,64,4,4,
,,,,,,
1639348697,6,4,63,4,4,
,,,,,,
1639348698,6,4,63,4,4,
,,,,,,
1639348698,6,5,65,4,4,
,,,,,,
1639348698,6,4,63,4,4,
,,,,,,
1639348698,7,4,64,4,4,
,,,,,,
1639348698,7,5,63,5,5,
,,,,,,
1639348698,13,1,60,5,4,
,,,,,,
1639348698,37,8,53,18,13,
,,,,,,
1639348698,42,13,50,21,14,
,,,,,,
1639348699,49,7,42,22,14,
,,,,,,
1639348699,48,-1,42,-19,-12,
,,,,,,
1639348699,48,-2,42,-20,-12,
,,,,,,
1639348699,48,-2,44,-20,-12,
,,,,,,
1639348699,47,-2,43,-19,-12,
,,,,,,
1639348699,48,-2,43,-20,-12,
,,,,,,
1639348699,47,2,42,19,12,
,,,,,,
1639348699,46,2,44,19,12,
,,,,,,
1639348699,46,3,44,19,12,
,,,,,,
1639348700,46,1,44,18,12,
,,,,,,
1639348700,45,1,44,18,12,
,,,,,,
1639348700,46,0,46,18,12,
,,,,,,
1639348700,46,3,47,19,12,
,,,,,,
1639348700,45,4,44,19,12,
,,,,,,
1639348700,47,3,45,20,13,
,,,,,,
1639348700,46,2,44,19,12,
,,,,,,
1639348701,46,1,44,18,12,
,,,,,,
1639348701,46,0,44,18,12,
,,,,,,
1639348701,46,0,43,18,12,
,,,,,,
1639348701,46,-1,44,-18,-12,
,,,,,,
1639348701,47,0,45,18,11,
,,,,,,
1639348701,46,7,42,21,13,
,,,,,,
1639348701,45,28,38,29,19,
,,,,,,
1639348701,47,34,31,32,20,
,,,,,,
1639348702,47,34,28,32,20,
,,,,,,
1639348702,48,33,26,32,20,
,,,,,,
1639348702,47,32,25,31,20,
,,,,,,
1639348702,48,30,25,30,19,
,,,,,,
1639348702,48,32,23,31,19,
,,,,,,
1639348702,48,31,23,31,19,
,,,,,,
1639348702,49,32,23,32,20,
,,,,,,
1639348702,48,31,24,31,19,
,,,,,,
1639348703,49,30,25,31,19,
,,,,,,
1639348703,48,31,25,31,19,
,,,,,,
1639348703,49,31,26,31,19,
,,,,,,
1639348703,48,31,25,31,19,
,,,,,,
1639348703,48,30,26,30,19,
,,,,,,
1639348703,48,31,26,31,19,
,,,,,,
1639348703,48,31,26,31,19,
,,,,,,
1639348703,48,30,25,30,19,
,,,,,,
1639348703,48,30,26,30,19,
,,,,,,
1639348704,49,30,26,31,19,
,,,,,,
1639348704,48,31,26,31,19,
,,,,,,
1639348704,48,31,26,31,19,
,,,,,,
1639348704,48,31,26,31,19,
,,,,,,
1639348704,48,31,26,31,19,
,,,,,,
1639348704,48,30,25,30,19,
,,,,,,
1639348704,49,31,26,31,19,
,,,,,,
1639348705,48,29,25,30,19,
,,,,,,
1639348705,48,31,25,31,19,
,,,,,,
1639348705,49,31,25,31,19,
,,,,,,
1639348705,49,30,23,31,19,
,,,,,,
1639348705,50,31,24,32,20,
,,,,,,
1639348705,50,31,24,32,20,
,,,,,,
1639348705,50,29,24,31,19,
,,,,,,
1639348705,50,29,23,31,19,
,,,,,,
1639348705,50,30,24,31,19,
,,,,,,
1639348706,50,30,23,31,19,
,,,,,,
1639348706,50,30,24,31,19,
,,,,,,
1639348706,50,31,24,32,20,
,,,,,,
1639348706,50,29,24,31,19,
,,,,,,
1639348706,50,30,24,31,19,
,,,,,,
1639348706,50,29,23,31,19,
,,,,,,
1639348706,51,28,22,31,19,
,,,,,,
1639348706,51,29,22,31,19,
,,,,,,
1639348707,53,29,21,32,19,
,,,,,,
1639348707,52,28,21,31,18,
,,,,,,
1639348707,52,28,21,31,18,
,,,,,,
1639348707,52,29,21,32,19,
,,,,,,
1639348707,52,29,20,32,19,
,,,,,,
1639348707,52,28,20,31,18,
,,,,,,
1639348707,52,29,21,32,19,
,,,,,,
1639348708,52,29,21,32,19,
,,,,,,
1639348708,52,30,20,32,19,
,,,,,,
1639348708,52,28,22,31,18,
,,,,,,
1639348708,52,29,21,32,19,
,,,,,,
1639348708,51,28,20,31,19,
,,,,,,
1639348708,52,29,21,32,19,
,,,,,,
1639348708,52,28,20,31,18,
,,,,,,
1639348708,52,28,20,31,18,
,,,,,,
1639348708,52,28,20,31,18,
,,,,,,
1639348709,51,29,19,31,19,
,,,,,,
1639348709,52,29,19,32,19,
,,,,,,
1639348709,52,29,19,32,19,
,,,,,,
1639348709,52,29,18,32,19,
,,,,,,
1639348709,53,28,20,32,19,
,,,,,,
1639348709,53,29,20,32,19,
,,,,,,
1639348709,52,29,18,32,19,
,,,,,,
1639348709,52,29,19,32,19,
,,,,,,
1639348710,53,29,19,32,19,
,,,,,,
1639348710,53,29,19,32,19,
,,,,,,
1639348710,52,29,19,32,19,
,,,,,,
1639348710,53,29,19,32,19,
,,,,,,
1639348710,52,28,18,31,18,
,,,,,,
1639348710,53,28,19,32,19,
,,,,,,
1639348710,53,29,18,32,19,
,,,,,,
1639348711,56,28,16,33,19,
,,,,,,
1639348711,54,27,16,32,18,
,,,,,,
1639348711,54,27,17,32,18,
,,,,,,
1639348711,54,27,15,32,18,
,,,,,,
1639348711,54,27,15,32,18,
,,,,,,
1639348711,54,27,15,32,18,
,,,,,,
1639348711,54,26,15,31,18,
,,,,,,
1639348711,55,27,15,32,18,
,,,,,,
1639348711,55,27,15,32,18,
,,,,,,
1639348712,55,26,15,32,18,
,,,,,,
1639348712,55,28,14,32,18,
,,,,,,
1639348712,55,27,14,32,18,
,,,,,,
1639348712,55,26,14,32,18,
,,,,,,
1639348712,55,26,15,32,18,
,,,,,,
1639348712,55,26,14,32,18,
,,,,,,
1639348712,56,26,14,32,18,
,,,,,,
1639348712,55,26,14,32,18,
,,,,,,
1639348712,55,26,14,32,18,
,,,,,,
1639348713,56,25,14,32,18,
,,,,,,
1639348713,55,26,15,32,18,
,,,,,,
1639348713,56,26,16,32,18,
,,,,,,
1639348713,55,25,16,31,18,
,,,,,,
1639348713,56,25,14,32,18,
,,,,,,
1639348713,56,24,15,31,17,
,,,,,,
1639348713,56,25,17,32,18,
,,,,,,
1639348714,56,25,17,32,18,
,,,,,,
1639348714,56,25,17,32,18,
,,,,,,
1639348714,55,25,18,31,18,
,,,,,,
1639348714,41,27,45,27,18,
,,,,,,
1639348714,35,31,46,26,19,
,,,,,,
1639348714,2,17,58,13,13,
,,,,,,
1639348714,2,8,65,6,6,
,,,,,,
1639348714,1,4,64,3,3,
,,,,,,
1639348714,1,3,63,2,2,
,,,,,,
1639348715,1,4,65,3,3,
,,,,,,
1639348715,2,6,63,5,5,
,,,,,,
1639348715,2,4,64,3,3,
,,,,,,
1639348715,3,7,65,5,5,
,,,,,,
1639348715,3,6,65,5,5,
,,,,,,
1639348715,5,4,63,4,4,
,,,,,,
1639348715,4,5,64,4,4,
,,,,,,
1639348715,3,4,65,3,3,
,,,,,,
1639348716,-3,7,63,5,5,
,,,,,,
1639348716,-2,3,56,2,2,
,,,,,,
1639348716,-1,4,52,3,3,
,,,,,,
1639348716,5,56,45,44,42,
,,,,,,
1639348716,-4,48,36,37,38,
,,,,,,
1639348716,-3,49,37,37,38,
,,,,,,
1639348716,1,47,34,37,37,
,,,,,,
1639348716,1,45,35,35,35,
,,,,,,
1639348717,5,44,37,34,33,
,,,,,,
1639348717,5,47,42,37,36,
,,,,,,
1639348717,4,47,41,37,36,
,,,,,,
1639348717,2,54,41,42,41,
,,,,,,
1639348717,2,53,31,41,40,
,,,,,,
1639348717,0,44,27,34,34,
,,,,,,
1639348717,-2,57,31,44,45,
,,,,,,
1639348717,-2,48,36,37,38,
,,,,,,
1639348717,2,57,34,45,44,
,,,,,,
1639348718,10,69,33,54,50,
,,,,,,
1639348718,10,52,28,41,38,
,,,,,,
1639348718,13,52,28,41,37,
,,,,,,
1639348718,4,50,33,39,38,
,,,,,,
1639348718,-4,55,33,42,43,
,,,,,,
1639348718,-2,55,34,42,43,
,,,,,,
1639348718,1,53,30,41,41,
,,,,,,
1639348719,2,54,31,42,41,
,,,,,,
1639348719,0,66,32,52,52,
,,,,,,
1639348719,-2,56,33,43,44,
,,,,,,
1639348719,-3,52,29,40,41,
,,,,,,
1639348719,-5,49,29,37,38,
,,,,,,
1639348719,-17,42,33,29,33,
,,,,,,
1639348719,-29,37,37,22,29,
,,,,,,
1639348719,-31,38,39,23,30,
,,,,,,
1639348720,-35,36,36,20,28,
,,,,,,
1639348720,-38,38,32,21,30,
,,,,,,
1639348720,-38,37,31,20,29,
,,,,,,
1639348720,-38,36,32,20,29,
,,,,,,
1639348720,-42,32,33,19,29,
,,,,,,
1639348720,-42,32,33,19,29,
,,,,,,
1639348720,-44,30,33,19,29,
,,,,,,
1639348720,-42,29,34,19,28,
,,,,,,
1639348720,-41,30,32,19,28,
,,,,,,
1639348721,-44,29,34,19,29,
,,,,,,
1639348721,-44,29,33,19,29,
,,,,,,
1639348721,-44,26,33,18,27,
,,,,,,
1639348721,-45,26,33,18,28,
,,,,,,
1639348721,-46,26,34,18,28,
,,,,,,
1639348721,-46,26,34,18,28,
,,,,,,
1639348721,-46,26,34,18,28,
,,,,,,
1639348722,-46,27,34,19,29,
,,,,,,
1639348722,-45,27,33,18,28,
,,,,,,
1639348722,-44,27,34,18,28,
,,,,,,
1639348722,-45,27,35,18,28,
,,,,,,
1639348722,-43,28,35,19,28,
,,,,,,
1639348722,-43,27,35,18,27,
,,,,,,
1639348722,-15,42,31,29,33,
,,,,,,
1639348722,-8,52,32,38,41,
,,,,,,
1639348723,18,55,29,43,37,
,,,,,,
1639348723,27,58,27,45,36,
,,,,,,
1639348723,37,45,23,35,25,
,,,,,,
1639348723,39,40,23,31,22,
,,,,,,
1639348723,40,41,23,32,22,
,,,,,,
1639348723,43,40,23,32,21,
,,,,,,
1639348723,45,37,21,32,21,
,,,,,,
1639348723,44,37,22,32,21,
,,,,,,
1639348723,45,38,22,32,21,
,,,,,,
1639348724,45,38,21,32,21,
,,,,,,
1639348724,44,37,22,32,21,
,,,,,,
1639348724,44,37,22,32,21,
,,,,,,
1639348724,44,38,22,32,21,
,,,,,,
1639348724,44,38,23,32,21,
,,,,,,
1639348724,44,38,22,32,21,
,,,,,,
1639348724,44,37,22,32,21,
,,,,,,
1639348724,44,38,23,32,21,
,,,,,,
1639348725,43,38,23,32,21,
,,,,,,
1639348725,42,39,24,32,22,
,,,,,,
1639348725,43,39,23,32,21,
,,,,,,
1639348725,42,40,24,32,22,
,,,,,,
1639348725,39,41,27,32,22,
,,,,,,
1639348725,38,41,27,32,23,
,,,,,,
1639348725,35,41,28,32,23,
,,,,,,
1639348725,34,42,30,33,24,
,,,,,,
1639348726,31,44,33,34,26,
,,,,,,
1639348726,31,43,31,34,26,
,,,,,,
1639348726,31,45,33,35,26,
,,,,,,
1639348726,27,44,33,34,27,
,,,,,,
1639348726,27,45,34,35,28,
,,,,,,
1639348726,21,47,32,37,31,
,,,,,,
1639348726,4,54,29,42,41,
,,,,,,
1639348726,2,54,29,42,41,
,,,,,,
1639348726,-2,55,29,42,43,
,,,,,,
1639348727,0,55,24,43,43,
,,,,,,
1639348727,1,56,24,44,44,
,,,,,,
1639348727,1,55,23,43,43,
,,,,,,
1639348727,1,53,25,41,41,
,,,,,,
1639348727,3,53,30,41,40,
,,,,,,
1639348727,-4,50,29,38,39,
,,,,,,
1639348727,2,52,32,41,40,
,,,,,,
1639348727,2,55,34,43,42,
,,,,,,
1639348728,-1,57,33,45,45,
,,,,,,
1639348728,-3,53,24,40,41,
,,,,,,
1639348728,-4,53,22,40,41,
,,,,,,
1639348728,-3,51,24,39,40,
,,,,,,
1639348728,-1,52,28,41,41,
,,,,,,
1639348728,0,54,28,42,42,
,,,,,,
1639348728,-1,56,29,44,44,
,,,,,,
1639348729,1,57,25,45,45,
,,,,,,
1639348729,1,58,23,45,45,
,,,,,,
1639348729,-1,54,18,42,42,
,,,,,,
1639348729,1,52,20,41,41,
,,,,,,
1639348729,6,58,22,45,43,
,,,,,,
1639348729,6,55,26,43,41,
,,,,,,
1639348729,7,52,25,41,39,
,,,,,,
1639348729,7,58,25,45,42,
,,,,,,
1639348729,7,49,31,38,36,
,,,,,,
1639348730,7,54,31,42,40,
,,,,,,
1639348730,7,49,30,38,36,
,,,,,,
1639348730,11,54,27,42,38,
,,,,,,
1639348730,16,58,25,45,40,
,,,,,,
1639348730,25,53,20,41,33,
,,,,,,
1639348730,29,44,18,34,26,
,,,,,,
1639348730,31,44,18,34,26,
,,,,,,
1639348730,42,42,15,33,22,
,,,,,,
1639348730,41,37,17,30,20,
,,,,,,
1639348731,46,34,17,31,20,
,,,,,,
1639348731,51,34,16,33,20,
,,,,,,
1639348731,49,31,17,31,19,
,,,,,,
1639348731,46,34,20,31,20,
,,,,,,
1639348731,46,31,18,30,19,
,,,,,,
1639348731,51,40,18,36,22,
,,,,,,
1639348731,45,38,16,32,21,
,,,,,,
1639348731,49,41,17,35,22,
,,,,,,
1639348732,47,35,16,32,20,
,,,,,,
1639348732,49,38,19,34,21,
,,,,,,
1639348732,48,39,20,34,21,
,,,,,,
1639348732,45,40,19,33,21,
,,,,,,
1639348732,45,41,19,34,22,
,,,,,,
1639348732,36,46,18,36,26,
,,,,,,
1639348732,27,52,22,41,32,
,,,,,,
1639348732,27,53,24,41,32,
,,,,,,
1639348732,17,55,22,43,37,
,,,,,,
1639348733,4,58,38,45,44,
,,,,,,
1639348733,-12,36,43,25,28,
,,,,,,
1639348733,-31,37,46,22,29,
,,,,,,
1639348733,-42,22,28,17,25,
,,,,,,
1639348733,-46,28,29,19,29,
,,,,,,
1639348733,-41,29,34,18,27,
,,,,,,
1639348733,-43,31,32,19,29,
,,,,,,
1639348733,-43,34,33,20,30,
,,,,,,
1639348734,-43,33,31,20,30,
,,,,,,
1639348734,-41,32,32,20,29,
,,,,,,
1639348734,-41,31,33,19,28,
,,,,,,
1639348734,-27,39,32,24,30,
,,,,,,
1639348734,-7,49,37,36,38,
,,,,,,
1639348734,-5,51,35,38,40,
,,,,,,
1639348734,4,54,35,42,41,
,,,,,,
1639348735,6,39,66,30,29,
,,,,,,
1639348735,-1,28,66,22,22,
,,,,,,
1639348735,6,-20,48,-16,-15,
,,,,,,
1639348735,-3,-9,66,-7,-7,
,,,,,,
1639348735,-1,-15,64,-12,-12,
,,,,,,
1639348735,5,-22,57,-17,-16,
,,,,,,
1639348735,6,-11,52,-9,-9,
,,,,,,
1639348735,5,-1,55,-2,-2,
,,,,,,
1639348735,0,71,29,55,55,
,,,,,,
1639348736,5,68,21,53,51,
,,,,,,
1639348736,5,63,17,49,47,
,,,,,,
1639348736,1,57,17,45,45,
,,,,,,
1639348736,2,62,17,48,47,
,,,,,,
1639348736,2,70,25,55,54,
,,,,,,
1639348736,6,14,55,11,11,
,,,,,,
1639348736,4,13,59,10,10,
,,,,,,
1639348736,-5,3,61,3,3,
,,,,,,
1639348737,1,10,65,8,8,
,,,,,,
1639348737,11,-3,76,-5,-5,
,,,,,,
1639348737,-4,3,64,3,3,
,,,,,,
1639348737,5,-10,63,-8,-8,
,,,,,,
1639348737,6,-4,66,-4,-4,
,,,,,,
1639348737,-1,-2,64,-2,-2,
,,,,,,
1639348737,0,-1,66,-1,-1,
,,,,,,
1639348738,-9,1,65,4,4,
,,,,,,
1639348738,-16,-5,54,-7,-8,
,,,,,,
1639348738,-12,-7,60,-6,-7,
,,,,,,
1639348738,-13,-3,47,-5,-6,
,,,,,,
1639348738,11,-9,76,-8,-7,
,,,,,,
1639348738,2,-6,60,-5,-5,
,,,,,,
1639348738,3,1,66,2,2,
,,,,,,
1639348738,-11,4,57,6,6,
,,,,,,
1639348739,5,14,67,11,11,
,,,,,,
1639348739,7,-10,82,-8,-8,
,,,,,,
1639348739,-3,13,68,10,10,
,,,,,,
1639348739,1,-8,69,-6,-6,
,,,,,,
1639348739,6,0,80,2,2,
,,,,,,
1639348739,-2,-3,62,-2,-2,
,,,,,,
1639348739,-8,-4,59,-5,-5,
,,,,,,
1639348739,-11,7,58,6,7,
,,,,,,
1639348739,0,11,63,9,9,
,,,,,,
1639348740,-12,8,57,7,8,
,,,,,,
1639348740,4,4,55,3,3,
,,,,,,
1639348740,4,16,51,12,12,
,,,,,,
1639348740,0,56,41,44,44,
,,,,,,
1639348740,5,50,36,39,37,
,,,,,,
1639348740,3,59,16,46,45,
,,,,,,
1639348740,2,64,12,50,49,
,,,,,,
1639348740,1,60,4,47,47,
,,,,,,
1639348741,-3,61,4,47,48,
,,,,,,
1639348741,-3,59,5,45,46,
,,,,,,
1639348741,-4,63,3,47,49,
,,,,,,
1639348741,-2,57,0,44,45,
,,,,,,
1639348741,-1,58,2,45,45,
,,,,,,
1639348741,-4,61,4,46,48,
,,,,,,
1639348741,-4,62,4,46,48,
,,,,,,
1639348741,-5,45,1,34,35,
,,,,,,
1639348741,-4,60,-7,45,47,
,,,,,,
1639348741,-3,56,-7,43,44,
,,,,,,
1639348742,-2,60,-6,46,47,
,,,,,,
1639348742,4,60,-5,47,45,
,,,,,,
1639348742,25,45,-3,35,28,
,,,,,,
1639348742,50,34,-7,33,20,
,,,,,,
1639348742,60,-15,4,-29,-15,
,,,,,,
1639348742,59,-18,6,-30,-16,
,,,,,,
1639348742,56,-31,13,-34,-19,
,,,,,,
1639348743,49,-41,10,-35,-22,
,,,,,,
1639348743,47,-41,12,-34,-22,
,,,,,,
1639348743,45,-41,13,-34,-22,
,,,,,,
1639348743,46,-41,14,-34,-22,
,,,,,,
1639348743,41,-39,18,-31,-21,
,,,,,,
1639348743,38,-49,22,-38,-27,
,,,,,,
1639348743,30,-46,20,-36,-28,
,,,,,,
1639348743,30,-51,24,-40,-31,
,,,,,,
1639348744,31,-45,25,-35,-26,
,,,,,,
1639348744,36,-44,24,-34,-24,
,,,,,,
1639348744,39,-55,24,-43,-30,
,,,,,,
1639348744,46,-41,17,-34,-22,
,,,,,,
1639348744,43,-39,16,-32,-21,
,,,,,,
1639348744,47,-33,14,-31,-20,
,,,,,,
1639348744,71,-4,21,-29,-13,
,,,,,,
1639348744,58,2,19,23,13,
,,,,,,
1639348744,52,26,22,30,18,
,,,,,,
1639348745,31,45,29,35,26,
,,,,,,
1639348745,19,48,32,38,32,
,,,,,,
1639348745,-3,49,39,37,38,
,,,,,,
1639348745,-13,36,56,25,28,
,,,,,,
1639348745,-12,18,53,13,14,
,,,,,,
1639348745,-19,9,56,9,11,
,,,,,,
1639348745,-16,3,59,6,7,
,,,,,,
1639348745,-26,-4,61,-10,-12,
,,,,,,
1639348746,-20,-4,56,-8,-9,
,,,,,,
1639348746,-14,-5,53,-6,-7,
,,,,,,
1639348746,-23,2,65,8,10,
,,,,,,
1639348746,-5,6,45,5,5,
,,,,,,
1639348746,8,30,37,23,22,
,,,,,,
1639348746,10,80,52,62,57,
,,,,,,
1639348746,12,75,49,59,53,
,,,,,,
1639348746,6,43,46,34,32,
,,,,,,
1639348747,29,-17,24,-18,-14,
,,,,,,
1639348747,1,-8,52,-6,-6,
,,,,,,
1639348747,4,-12,60,-9,-9,
,,,,,,
1639348747,24,-27,52,-21,-17,
,,,,,,
1639348747,3,-16,66,-12,-12,
,,,,,,
1639348747,3,-8,65,-6,-6,
,,,,,,
1639348747,15,-33,34,-26,-23,
,,,,,,
1639348747,1,-23,18,-18,-18,
,,,,,,
1639348747,29,77,50,60,46,
,,,,,,
1639348748,-10,22,82,16,17,
,,,,,,
1639348748,16,5,49,8,7,
,,,,,,
1639348748,-28,-19,62,-14,-18,
,,,,,,
1639348748,-20,-7,68,-9,-11,
,,,,,,
1639348748,-14,-7,63,-7,-8,
,,,,,,
1639348748,3,13,62,10,10,
,,,,,,
1639348748,-5,-11,63,-9,-9,
,,,,,,
1639348748,-13,13,74,9,10,
,,,,,,
1639348749,-9,-5,61,-5,-5,
,,,,,,
1639348749,-6,-4,63,-4,-4,
,,,,,,
1639348749,-3,-3,67,-2,-2,
,,,,,,
1639348749,-1,-2,66,-2,-2,
,,,,,,
1639348749,3,-1,66,-2,-2,
,,,,,,
1639348749,3,-4,63,-3,-3,
,,,,,,
1639348749,3,-3,64,-2,-2,
,,,,,,
1639348750,2,-3,65,-2,-2,
,,,,,,
1639348750,2,-3,64,-2,-2,
,,,,,,
1639348750,2,-3,64,-2,-2,
,,,,,,
1639348750,2,-3,61,-2,-2,
,,,,,,
1639348750,1,-1,62,-1,-1,
,,,,,,
1639348750,28,-2,48,-12,-9,
,,,,,,
1639348750,43,25,26,27,18,
,,,,,,
1639348750,49,39,21,34,21,
,,,,,,
1639348750,62,27,-5,35,18,
,,,,,,
1639348751,61,16,-17,30,16,
,,,,,,
1639348751,62,14,-17,30,16,
,,,,,,
1639348751,61,17,-14,30,16,
,,,,,,
1639348751,69,24,20,36,17,
,,,,,,
1639348751,55,26,30,32,18,
,,,,,,
1639348751,26,-3,52,-11,-9,
,,,,,,
1639348751,11,9,63,8,7,
,,,,,,
1639348751,5,4,62,4,4,
,,,,,,
1639348752,-1,8,57,6,6,
,,,,,,
1639348752,17,6,60,9,8,
,,,,,,
1639348752,16,7,59,9,8,
,,,,,,
1639348752,21,15,69,14,12,
,,,,,,
1639348752,12,-5,49,-7,-6,
,,,,,,
1639348752,13,1,53,5,4,
,,,,,,
1639348752,1,2,68,2,2,
,,,,,,
1639348753,24,-2,56,-10,-8,
,,,,,,
1639348753,22,-2,53,-9,-7,
,,,,,,
1639348753,15,5,68,8,7,
,,,,,,
1639348753,3,-4,58,-3,-3,
,,,,,,
1639348753,0,-4,59,-3,-3,
,,,,,,
1639348753,14,-8,60,-9,-8,
,,,,,,
1639348753,9,-5,74,-5,-5,
,,,,,,
1639348753,12,-15,62,-12,-11,
,,,,,,
1639348753,15,6,63,8,7,
,,,,,,
1639348754,22,-8,57,-12,-10,
,,,,,,
1639348754,12,3,62,6,5,
,,,,,,
1639348754,9,-5,58,-5,-5,
,,,,,,
1639348754,5,-2,63,-3,-3,
,,,,,,
1639348754,3,-5,68,-4,-4,
,,,,,,
1639348754,6,-3,65,-4,-4,
,,,,,,
1639348754,7,-4,62,-4,-4,
,,,,,,
1639348754,6,-5,65,-4,-4,
,,,,,,
1639348755,11,-3,66,-5,-5,
,,,,,,
1639348755,1,4,71,3,3,
,,,,,,
1639348755,16,-10,65,-10,-9,
,,,,,,
1639348755,4,0,59,2,2,
,,,,,,
1639348755,-6,25,53,19,20,
,,,,,,
1639348755,6,14,77,11,11,
,,,,,,
1639348755,-13,-30,49,-21,-23,
,,,,,,
1639348755,-11,-43,35,-31,-34,
,,,,,,
1639348756,2,-78,15,-61,-60,
,,,,,,
1639348756,-4,-62,14,-46,-48,
,,,,,,
