Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639075934.24874,-1,60,5,None,None
1639075937.40513,-1,60,5,47,47
Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639075934.24874,-1,60,5,None,None
1639075937.40513,-1,60,5,47,47
1639075940.40527,-1,60,5,47,47
Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639075934.24874,-1,60,5,None,None
1639075937.40513,-1,60,5,47,47
1639075940.40527,-1,60,5,47,47
1639075943.40541,-1,60,5,47,47
Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639075934.24874,-1,60,5,None,None
1639075937.40513,-1,60,5,47,47
1639075940.40527,-1,60,5,47,47
1639075943.40541,-1,60,5,47,47
1639075946.40555,-7,-4,64,-4,-4
Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639075934.24874,-1,60,5,None,None
1639075937.40513,-1,60,5,47,47
1639075940.40527,-1,60,5,47,47
1639075943.40541,-1,60,5,47,47
1639075946.40555,-7,-4,64,-4,-4
1639075949.40569,-1,16,62,12,12
Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639075934.24874,-1,60,5,None,None
1639075937.40513,-1,60,5,47,47
1639075940.40527,-1,60,5,47,47
1639075943.40541,-1,60,5,47,47
1639075946.40555,-7,-4,64,-4,-4
1639075949.40569,-1,16,62,12,12
1639075952.40583,5,49,35,38,37
Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639075934.24874,-1,60,5,None,None
1639075937.40513,-1,60,5,47,47
1639075940.40527,-1,60,5,47,47
1639075943.40541,-1,60,5,47,47
1639075946.40555,-7,-4,64,-4,-4
1639075949.40569,-1,16,62,12,12
1639075952.40583,5,49,35,38,37
1639075955.40597,48,30,34,30,19
Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639075934.24874,-1,60,5,None,None
1639075937.40513,-1,60,5,47,47
1639075940.40527,-1,60,5,47,47
1639075943.40541,-1,60,5,47,47
1639075946.40555,-7,-4,64,-4,-4
1639075949.40569,-1,16,62,12,12
1639075952.40583,5,49,35,38,37
1639075955.40597,48,30,34,30,19
1639075958.40611,-32,44,28,26,34
Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639075934.24874,-1,60,5,None,None
1639075937.40513,-1,60,5,47,47
1639075940.40527,-1,60,5,47,47
1639075943.40541,-1,60,5,47,47
1639075946.40555,-7,-4,64,-4,-4
1639075949.40569,-1,16,62,12,12
1639075952.40583,5,49,35,38,37
1639075955.40597,48,30,34,30,19
1639075958.40611,-32,44,28,26,34
1639075961.40624,5,56,15,44,42
