Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639348761.33899,-15,-58,22,-40,-45
1639348761.5265,-15,-58,20,-40,-45
1639348761.589,-15,-58,20,-40,-45
1639348761.71401,-14,-59,22,-41,-46
1639348761.90152,-14,-58,21,-40,-45
1639348761.93277,-13,-60,19,-42,-47
1639348762.08903,-14,-58,22,-40,-45
1639348762.12028,-14,-58,22,-40,-45
1639348762.27653,-14,-58,22,-40,-45
1639348762.46404,-13,-58,22,-40,-45
1639348762.52655,-14,-57,22,-40,-45
1639348762.65155,-14,-57,22,-40,-45
1639348762.83906,-13,-57,24,-40,-45
1639348762.87031,-13,-58,23,-40,-45
1639348763.02657,-13,-58,24,-40,-45
1639348763.21408,-13,-57,23,-40,-45
1639348763.24533,-14,-55,20,-38,-43
1639348763.40159,-13,-58,22,-40,-45
1639348763.5891,-11,-59,21,-42,-46
1639348763.6516,-11,-59,22,-42,-46
1639348763.7766,-11,-58,21,-41,-45
1639348763.96411,-11,-56,24,-40,-44
1639348763.99536,-8,-60,25,-44,-47
1639348764.15162,-10,-57,21,-42,-45
1639348764.33913,-15,-58,28,-40,-45
1639348764.37038,-14,-59,23,-41,-46
1639348764.52664,-12,-58,27,-41,-45
1639348764.71415,-9,-58,28,-42,-45
1639348764.77665,-10,-58,31,-42,-45
1639348764.90166,-9,-58,28,-42,-45
1639348764.93291,-9,-58,26,-42,-45
1639348765.08916,-8,-60,22,-44,-47
1639348765.27667,4,-73,25,-57,-55
1639348765.33918,-4,-41,23,-31,-32
1639348765.46418,3,-66,18,-52,-51
1639348765.65169,-1,-60,26,-47,-47
1639348765.68294,-2,-60,28,-46,-47
1639348765.8392,-3,-53,33,-40,-41
1639348766.02671,7,-60,20,-47,-44
1639348766.05796,5,-58,18,-45,-43
1639348766.21422,-2,-56,33,-43,-44
1639348766.40173,-2,-54,31,-41,-42
1639348766.43298,-2,-53,31,-40,-41
1639348766.58923,-2,-51,35,-39,-40
1639348766.77674,4,-56,19,-44,-43
1639348766.80799,4,-53,18,-41,-40
1639348766.96425,7,-70,5,-55,-52
1639348767.15176,14,-68,13,-53,-47
1639348767.18301,13,-67,12,-52,-47
1639348767.33927,11,-61,10,-48,-44
1639348767.52678,10,-60,17,-47,-43
1639348767.55803,11,-63,18,-49,-45
1639348767.71429,11,-61,14,-48,-44
1639348767.90179,10,-59,18,-46,-42
1639348767.9643,11,-63,17,-49,-45
1639348768.0893,11,-62,18,-48,-44
1639348768.27681,8,-59,23,-46,-43
1639348768.30806,9,-62,22,-48,-45
1639348768.46432,10,-63,20,-49,-45
1639348768.65183,10,-59,25,-46,-42
1639348768.68308,9,-59,25,-46,-43
1639348768.83934,6,-54,28,-42,-40
1639348769.02685,8,-55,29,-43,-40
1639348769.0581,9,-58,28,-45,-42
1639348769.21436,9,-59,28,-46,-43
1639348769.40186,9,-57,28,-45,-42
1639348769.43312,8,-55,28,-43,-40
1639348769.58937,9,-56,28,-44,-41
1639348769.77688,9,-57,29,-45,-42
1639348769.83938,10,-57,30,-45,-42
1639348769.96439,9,-56,30,-44,-41
1639348770.1519,10,-49,36,-38,-35
1639348770.2144,12,-53,37,-41,-37
1639348770.33941,12,-53,36,-41,-37
1639348770.52692,21,-16,65,-14,-12
1639348770.55817,21,-16,65,-14,-12
1639348770.71443,14,-5,58,-7,-6
1639348770.90193,9,14,63,11,10
1639348770.93319,9,15,64,12,11
1639348771.08944,7,8,65,6,6
1639348771.12069,7,6,65,5,5
1639348771.27695,7,5,65,5,5
1639348771.46446,5,5,65,4,4
1639348771.49571,5,4,64,4,4
1639348771.65197,4,-4,62,-3,-3
1639348771.83948,4,-1,64,-2,-2
1639348771.87073,5,-3,65,-3,-3
1639348772.02699,-1,-11,60,-9,-9
1639348772.21449,2,-62,24,-48,-47
1639348772.24575,2,-61,23,-48,-47
1639348772.402,-1,-62,13,-48,-48
1639348772.58951,1,-60,8,-47,-47
1639348772.65201,0,-60,9,-47,-47
1639348772.77702,-1,-67,2,-52,-52
1639348772.96453,-1,-63,1,-49,-49
1639348773.02703,-2,-62,3,-47,-48
1639348773.15204,-2,-65,2,-50,-51
1639348773.33955,-1,-64,3,-50,-50
1639348773.40205,-2,-62,3,-47,-48
1639348773.52706,-2,-63,3,-48,-49
1639348773.71456,-2,-66,5,-51,-52
1639348773.77707,-2,-64,5,-49,-50
1639348773.90207,-2,-65,5,-50,-51
1639348774.08958,-4,-63,4,-47,-49
1639348774.15208,-4,-64,5,-48,-50
1639348774.27709,-3,-64,5,-49,-50
1639348774.4646,-2,-64,6,-49,-50
1639348774.49585,-2,-63,4,-48,-49
1639348774.65211,-3,-63,6,-48,-49
1639348774.83962,-4,-63,5,-47,-49
1639348774.87087,-4,-64,4,-48,-50
1639348775.02712,-5,-60,9,-45,-47
1639348775.21463,-2,-68,7,-52,-53
1639348775.24589,-3,-66,6,-51,-52
1639348775.40214,-3,-62,5,-47,-48
1639348775.58965,-2,-61,8,-47,-48
1639348775.6209,-3,-59,7,-45,-46
1639348775.77716,-2,-64,8,-49,-50
1639348775.96467,-2,-64,6,-49,-50
1639348776.02717,-3,-65,6,-50,-51
1639348776.15218,-2,-63,3,-48,-49
1639348776.33969,-4,-63,6,-47,-49
1639348776.37094,-4,-63,5,-47,-49
1639348776.52719,-4,-63,5,-47,-49
1639348776.7147,-4,-63,4,-47,-49
1639348776.74595,-4,-62,4,-46,-48
1639348776.90221,-4,-65,4,-49,-51
1639348777.08972,-3,-63,4,-48,-49
1639348777.15222,-2,-65,5,-50,-51
1639348777.27723,-2,-70,14,-54,-55
1639348777.37098,-2,-57,20,-44,-45
1639348777.46474,6,-38,44,-30,-29
1639348777.65225,4,4,66,3,3
1639348777.6835,1,9,63,7,7
1639348777.83976,-29,53,27,32,41
1639348777.87101,-24,55,36,35,43
1639348778.02726,-17,67,33,45,52
1639348778.21477,-5,45,32,34,35
1639348778.24602,2,43,40,34,33
1639348778.40228,2,50,38,39,38
1639348778.58979,1,49,40,38,38
1639348778.65229,-1,49,38,38,38
1639348778.7773,-12,59,35,42,46
1639348778.96481,-25,44,35,27,34
1639348779.15232,-32,44,35,26,34
1639348779.18357,-37,43,29,24,34
1639348779.33982,-38,29,30,18,26
1639348779.52733,-49,33,21,20,32
1639348779.55858,-48,33,23,20,32
1639348779.71484,-50,28,19,18,30
1639348779.90235,-49,36,20,20,33
1639348779.9336,-48,35,20,20,32
1639348780.08986,-50,33,17,20,32
1639348780.27737,-51,33,16,20,33
1639348780.30862,-51,32,16,19,32
1639348780.46488,-51,32,15,19,32
1639348780.65239,-51,32,15,19,32
1639348780.68364,-50,32,16,20,32
1639348780.83989,-51,32,16,19,32
1639348781.0274,-52,30,15,19,32
1639348781.05865,-52,31,16,19,32
1639348781.21491,-56,29,9,19,33
1639348781.40242,-59,21,-1,17,31
1639348781.43367,-58,19,2,16,30
1639348781.58993,-61,19,-1,16,31
1639348781.62118,-59,13,3,15,28
1639348781.77744,-62,12,-6,15,29
1639348781.96495,-63,13,-1,15,30
1639348781.9962,-63,13,1,15,30
1639348782.15245,-62,12,-1,15,29
1639348782.33996,-62,12,-3,15,29
1639348782.37121,-62,12,-1,15,29
1639348782.52747,-62,13,-1,15,29
1639348782.71498,-62,14,1,16,30
1639348782.74623,-61,12,1,15,29
1639348782.90249,-61,10,0,15,28
1639348783.09,-62,12,0,15,29
1639348783.12125,-63,11,-2,15,29
1639348783.27751,-60,12,-1,15,28
1639348783.46502,-64,15,0,16,31
1639348783.49627,-63,15,0,15,30
1639348783.65252,-61,12,-1,15,29
1639348783.84003,-62,13,-3,15,29
1639348783.90254,-57,14,0,16,28
1639348784.02754,-61,10,-5,15,28
1639348784.21505,-68,18,-1,16,34
1639348784.2463,-66,16,-2,15,32
1639348784.40256,-60,9,-4,14,27
1639348784.59007,-63,16,2,16,31
1639348784.65257,-60,15,3,15,29
1639348784.77758,-62,13,-1,15,29
1639348784.96509,-57,12,8,15,27
1639348784.99634,-62,13,10,15,29
1639348785.15259,-60,14,-7,15,29
1639348785.3401,-63,15,-3,15,30
1639348785.40261,-54,11,2,14,25
1639348785.52761,-63,13,6,15,30
1639348785.71512,-61,11,4,15,28
1639348785.74637,-62,10,2,14,28
1639348785.90263,-64,15,0,16,31
1639348786.09014,-63,17,0,16,31
1639348786.15264,-56,16,5,16,28
1639348786.27765,-64,13,0,15,30
1639348786.3089,-66,10,-1,14,30
1639348786.46515,-61,11,2,15,28
1639348786.65266,-63,12,0,15,29
1639348786.71517,-64,7,-2,14,28
1639348786.84017,-66,4,-7,13,27
1639348786.90267,-63,3,-8,13,26
1639348787.02768,-62,7,-4,14,27
1639348787.21519,-64,9,-3,14,29
1639348787.27769,-62,9,-4,14,28
1639348787.4027,-62,5,-5,13,26
1639348787.59021,-64,5,-4,14,27
1639348787.62146,-63,6,-2,14,27
1639348787.77772,-63,4,-5,13,26
1639348787.96522,-65,5,-5,13,27
1639348787.99648,-63,4,-5,13,26
1639348788.15273,-63,4,-4,13,26
1639348788.34024,-64,7,-1,14,28
1639348788.40274,-64,5,-3,14,27
1639348788.52775,-62,7,2,14,27
1639348788.59025,-65,11,5,15,30
1639348788.71526,-34,28,4,18,24
1639348788.90277,7,41,53,32,30
1639348789.09028,15,33,57,26,23
1639348789.15278,11,10,44,8,7
1639348789.27778,26,47,33,37,29
1639348789.46529,6,47,22,37,35
1639348789.5278,20,52,35,41,35
1639348789.6528,21,49,32,38,32
1639348789.7153,16,50,30,39,34
1639348789.84031,12,54,23,42,38
1639348790.02782,12,53,23,41,37
1639348790.09032,12,52,14,41,37
1639348790.21533,12,58,15,45,41
1639348790.40284,12,57,15,45,41
1639348790.46534,8,60,12,47,44
1639348790.59035,11,59,13,46,42
1639348790.77785,9,58,13,45,42
1639348790.84036,7,59,11,46,43
1639348790.96536,8,58,11,45,42
1639348791.15287,7,59,11,46,43
1639348791.18412,7,58,11,45,42
1639348791.34038,6,59,8,46,44
1639348791.52789,4,60,8,47,45
1639348791.55914,4,59,7,46,44
1639348791.7154,3,59,6,46,45
1639348791.74665,2,60,5,47,46
1639348791.90291,3,65,8,51,50
1639348792.09041,2,57,5,45,44
1639348792.15292,1,59,6,46,46
1639348792.27792,3,59,9,46,45
1639348792.46543,1,60,7,47,47
1639348792.49668,0,59,7,46,46
1639348792.65294,1,59,7,46,46
1639348792.84045,-2,60,6,46,47
1639348792.90295,-2,62,6,47,48
1639348793.02796,-4,60,6,45,47
1639348793.21547,-3,58,7,44,45
1639348793.27797,-4,61,7,46,48
1639348793.40298,3,59,14,46,45
1639348793.59048,-5,53,8,39,41
1639348793.77799,4,63,15,49,47
1639348793.80924,2,57,14,45,44
1639348793.9655,-1,61,15,48,48
1639348794.15301,-4,57,15,44,45
1639348794.18426,-3,60,19,46,47
1639348794.34052,-9,56,18,41,44
1639348794.52803,-2,54,16,41,42
1639348794.59053,-6,53,13,39,41
1639348794.71554,-6,65,20,49,51
1639348794.90305,0,56,18,44,44
1639348794.96555,-4,55,13,42,43
1639348795.09055,-1,62,17,48,48
1639348795.27806,0,56,16,44,44
1639348795.30931,1,57,18,45,45
1639348795.46557,-1,57,15,45,45
1639348795.65308,-9,56,18,41,44
1639348795.68433,-10,56,19,41,44
1639348795.84059,-7,60,15,44,47
1639348796.0281,-7,53,13,39,41
1639348796.05935,-3,54,18,41,42
1639348796.21561,-4,55,12,42,43
1639348796.40311,-4,64,17,48,50
1639348796.46562,-10,61,14,44,48
1639348796.59062,-3,56,13,43,44
1639348796.77813,7,62,16,48,45
1639348796.80938,14,61,22,48,43
1639348796.96564,1,59,18,46,46
1639348797.15315,8,55,18,43,40
1639348797.21565,4,45,19,35,34
1639348797.34066,0,68,28,53,53
1639348797.52817,5,55,29,43,41
1639348797.59067,0,56,25,44,44
1639348797.71568,-4,52,22,40,41
1639348797.90318,-2,56,24,43,44
1639348797.96569,-2,63,25,48,49
1639348798.09069,3,50,29,39,38
1639348798.2782,-1,58,23,45,45
1639348798.30945,-2,58,24,44,45
1639348798.46571,-5,50,24,37,39
1639348798.65322,-2,58,25,44,45
1639348798.68447,-3,55,25,42,43
1639348798.84073,-7,55,23,41,43
1639348799.02824,0,55,27,43,43
1639348799.05949,-2,54,26,41,42
1639348799.21574,-3,55,24,42,43
1639348799.27825,-1,56,24,44,44
1639348799.40325,2,55,24,43,42
1639348799.59076,35,47,30,37,27
1639348799.62201,35,45,27,35,25
1639348799.77827,37,41,15,32,23
1639348799.96578,43,37,13,31,21
1639348800.02828,51,42,12,36,22
1639348800.15329,45,49,10,38,25
1639348800.3408,47,42,2,35,22
1639348800.37205,48,42,3,35,22
1639348800.52831,54,39,3,36,21
1639348800.71581,50,40,1,35,21
1639348800.77832,53,39,1,36,21
1639348800.90332,52,34,2,34,20
1639348800.93457,52,36,1,34,20
1639348801.09083,49,39,1,34,21
1639348801.27834,53,36,1,35,20
1639348801.30959,52,37,1,35,21
1639348801.46585,49,37,0,34,21
1639348801.65336,50,39,0,35,21
1639348801.68461,51,39,1,35,21
1639348801.84087,47,39,4,34,22
1639348802.02837,46,40,2,34,22
1639348802.09088,49,43,4,36,22
1639348802.21588,46,41,6,34,22
1639348802.40339,40,49,13,38,26
1639348802.43464,36,44,10,34,24
1639348802.5909,30,51,14,40,31
1639348802.77841,28,62,19,48,38
1639348802.84091,17,61,22,48,42
1639348802.96592,-10,77,-4,55,60
1639348803.15343,19,38,-128,30,26
1639348803.18468,127,127,24,99,1
1639348803.34094,13,-128,-125,-100,-90
1639348803.52844,-12,42,-4,30,33
1639348803.59095,79,-128,-44,-100,-38
1639348803.71595,-20,30,1,19,23
1639348803.90346,52,127,82,99,59
1639348803.93471,-7,58,-45,42,45
1639348804.09097,13,127,-69,99,89
1639348804.27848,35,27,-24,24,17
1639348804.30973,62,127,-26,99,51
1639348804.46599,50,-104,32,-81,-50
1639348804.6535,-1,-16,-68,-12,-12
1639348804.84101,69,127,127,99,46
1639348804.90351,30,127,62,99,76
1639348805.02851,1,1,-128,1,1
1639348805.21602,9,127,0,99,92
1639348805.24727,12,49,-98,38,34
1639348805.40353,116,-97,9,-83,-8
1639348805.59104,5,127,48,99,95
1639348805.62229,-16,44,-74,30,34
1639348805.77855,-11,127,-21,91,99
1639348805.96606,10,-120,-103,-94,-87
1639348806.02856,65,127,-5,99,49
1639348806.15357,6,48,-51,38,36
1639348806.34107,31,127,-28,99,75
1639348806.37233,86,127,53,99,32
1639348806.52858,41,-128,-57,-100,-68
1639348806.71609,21,110,18,86,72
1639348806.77859,56,-128,-55,-100,-56
1639348806.9036,50,19,-95,27,16
1639348807.09111,20,-66,-64,-52,-44
1639348807.12236,71,-128,-49,-100,-44
1639348807.27862,-59,127,-46,53,99
1639348807.46613,61,-105,-4,-82,-43
1639348807.49738,38,-128,-36,-100,-71
1639348807.65364,-51,127,-25,59,99
1639348807.84114,11,-23,-74,-18,-16
1639348807.8724,56,-128,-75,-100,-56
1639348808.02865,27,127,58,99,78
1639348808.21616,37,-34,-39,-28,-20
1639348808.24741,0,-128,-121,-100,-100
1639348808.40367,30,127,-60,99,76
1639348808.59118,80,-128,-67,-100,-38
1639348808.62243,25,-66,-64,-52,-42
1639348808.77869,-14,127,33,88,99
1639348808.9662,101,-118,15,-92,-19
1639348809.0287,-8,-57,7,-42,-45
1639348809.1537,-66,70,1,27,55
1639348809.34121,92,-128,-70,-100,-28
1639348809.37246,76,-100,-47,-78,-32
1639348809.52872,-128,127,9,0,100
1639348809.71623,127,-75,123,-79,0
1639348809.77873,110,49,53,62,9
1639348809.90374,-128,122,-81,0,98
1639348810.09125,107,18,38,49,8
1639348810.1225,50,4,27,21,13
1639348810.27876,-51,115,-10,54,90
1639348810.46627,5,62,8,48,46
1639348810.49752,18,47,13,37,32
1639348810.65377,-14,63,-5,44,49
1639348810.84128,-3,59,-1,45,46
1639348810.90379,0,63,1,49,49
1639348811.02879,2,61,5,48,47
1639348811.2163,3,61,3,48,47
1639348811.24755,2,58,3,45,44
1639348811.40381,-5,66,1,50,52
1639348811.59132,3,53,3,41,40
1639348811.65382,0,66,-1,52,52
1639348811.77883,6,63,2,49,47
1639348811.96634,-3,64,-2,49,50
1639348812.15384,-1,68,0,53,53
1639348812.1851,-2,64,1,49,50
1639348812.34135,0,58,-3,45,45
1639348812.52886,-3,61,0,47,48
1639348812.56011,-1,62,0,48,48
1639348812.71637,3,59,2,46,45
1639348812.77887,1,57,1,45,45
1639348813.09139,109,10,-1,46,7
1639348813.15389,95,52,-10,57,15
1639348813.2789,54,10,-18,25,14
1639348813.4664,66,-13,2,-31,-15
1639348813.49766,65,-3,-1,-27,-13
1639348813.65391,60,-11,-9,-28,-15
1639348813.84142,101,-9,19,-43,-9
1639348813.90392,86,-30,23,-45,-15
1639348814.02893,-23,-40,35,-25,-31
1639348814.21644,26,-43,58,-34,-27
1639348814.40395,5,-36,37,-28,-27
1639348814.4352,7,-43,26,-34,-32
1639348814.59146,41,-59,3,-46,-31
1639348814.77897,29,-59,-10,-46,-36
1639348814.84147,33,-56,3,-44,-33
1639348814.96647,21,-50,35,-39,-32
1639348815.15398,3,-42,10,-33,-32
1639348815.21649,26,-11,18,-14,-11
1639348815.34149,-11,127,27,91,99
1639348815.529,-7,58,6,42,45
1639348815.5915,-3,68,6,52,53
1639348815.71651,-6,52,3,39,41
1639348815.90402,-8,64,-7,47,50
1639348815.93527,-11,61,-8,44,48
1639348816.09153,-20,60,-13,40,47
1639348816.27903,4,61,-6,48,46
1639348816.31029,5,58,-14,45,43
1639348816.46654,-18,57,-27,39,45
1639348816.65405,-2,51,-8,39,40
1639348816.6853,-5,63,-11,47,49
1639348816.84156,-21,53,-14,34,41
1639348817.02907,-8,59,-21,43,46
1639348817.06032,-10,60,-21,43,47
1639348817.21658,-9,57,-19,42,45
1639348817.40409,-13,58,-19,40,45
1639348817.43534,-12,60,-18,43,47
1639348817.5916,-10,58,-19,42,45
1639348817.7791,-4,61,-10,46,48
1639348817.81036,-9,62,-11,45,48
1639348817.96661,-7,61,-7,45,48
1639348818.15412,-9,61,-7,45,48
1639348818.18537,4,60,-3,47,45
1639348818.34163,-5,63,-8,47,49
1639348818.52914,5,63,-3,49,47
1639348818.56039,3,58,-2,45,44
1639348818.71665,12,59,-1,46,42
1639348818.90416,18,57,-22,45,39
1639348818.93541,26,59,-25,46,37
1639348819.09167,40,45,-19,35,24
1639348819.27917,23,39,-8,30,25
1639348819.31043,33,38,0,30,22
1639348819.46668,56,16,6,28,16
1639348819.65419,49,27,-8,30,18
1639348819.68544,57,34,-3,36,20
1639348819.8417,47,50,-18,39,25
1639348820.02921,35,43,-21,34,25
1639348820.06046,43,39,-20,32,21
1639348820.21672,32,43,-27,34,26
1639348820.40423,36,44,-26,34,24
1639348820.43548,39,43,-26,34,24
1639348820.59173,36,43,-28,34,24
1639348820.77924,32,44,-29,34,26
1639348820.81049,35,49,-26,38,28
1639348820.96675,36,42,-25,33,24
1639348821.15426,29,49,-26,38,29
1639348821.18551,36,48,-24,38,27
1639348821.34177,34,48,-24,38,28
1639348821.52928,34,48,-22,38,28
1639348821.59178,29,46,-22,36,28
1639348821.71679,33,49,-21,38,28
1639348821.9043,37,48,-19,38,27
1639348821.9668,31,51,-18,40,30
1639348822.0918,20,55,-19,43,36
1639348822.27931,34,54,-12,42,31
1639348822.31056,42,67,-10,52,35
1639348822.46682,18,56,-1,44,38
1639348822.65433,13,48,8,38,34
1639348822.71683,15,58,10,45,40
1639348822.84184,14,55,10,43,38
1639348823.02935,7,52,18,41,39
1639348823.0606,5,51,17,40,38
1639348823.21686,18,87,10,68,59
1639348823.40436,-28,20,21,15,19
1639348823.46687,-13,84,6,59,66
1639348823.59187,-24,52,5,33,41
1639348823.77938,-13,59,9,41,46
1639348823.81063,-14,55,9,38,43
1639348823.96689,-11,67,4,48,52
1639348824.1544,-8,61,3,45,48
1639348824.18565,-6,61,6,46,48
1639348824.34191,-7,52,6,39,41
1639348824.52942,-9,48,0,35,38
1639348824.59192,-5,86,0,64,67
1639348824.71693,-17,47,2,32,37
1639348824.90443,-15,61,2,42,48
1639348824.96694,-17,58,1,39,45
1639348825.09194,-16,65,1,45,51
1639348825.27945,3,62,3,48,47
1639348825.34195,8,54,-11,42,39
1639348825.46696,19,36,-19,28,24
1639348825.65447,57,33,-3,35,19
1639348825.68572,54,30,-4,33,19
1639348825.84198,55,44,0,39,22
1639348826.02949,24,79,-15,62,50
1639348826.06074,1,72,-15,56,56
1639348826.21699,-4,116,-9,88,91
1639348826.4045,-45,23,5,18,27
1639348826.43576,-33,24,12,16,22
1639348826.59201,-50,21,4,17,28
1639348826.77952,-65,15,-1,15,31
1639348826.84202,-52,19,2,17,28
1639348826.96703,-57,16,-1,16,29
1639348827.15454,-59,21,-1,17,31
1639348827.21704,-59,17,-2,16,30
1639348827.34205,-59,20,-3,17,31
1639348827.52956,-62,16,-3,16,30
1639348827.56081,-59,16,-2,16,29
1639348827.71706,-60,14,-3,15,29
1639348827.90457,-61,13,-3,15,29
1639348827.93582,-61,16,-3,16,30
1639348828.09208,-66,14,-6,15,31
1639348828.27959,-63,14,-3,15,30
1639348828.31084,-63,13,-3,15,30
1639348828.4671,-52,10,-6,14,24
1639348828.65461,-62,-9,-21,-14,-28
1639348828.71711,-63,-3,-19,-13,-26
1639348828.84212,-56,-8,-20,-14,-25
1639348829.02962,-51,-30,-16,-19,-32
1639348829.09213,-51,-35,-35,-20,-34
1639348829.21713,-45,-23,-24,-18,-27
1639348829.40464,-53,-14,-29,-15,-26
1639348829.46715,-54,-24,-33,-17,-30
1639348829.59215,-54,-22,-35,-17,-30
1639348829.77966,-64,-2,-40,-13,-26
1639348829.84216,-51,0,-27,12,20
1639348829.96717,-52,16,-29,16,27
1639348830.15468,-58,-1,-36,-13,-23
1639348830.21718,-56,0,-31,12,22
1639348830.34219,-57,-6,-34,-14,-25
1639348830.52969,-51,-3,-27,-13,-21
1639348830.56095,-52,-15,-29,-15,-26
1639348830.7172,-57,-13,-36,-15,-27
1639348830.90471,-54,-14,-34,-16,-27
1639348830.96721,-55,-11,-33,-15,-26
1639348831.09222,-54,-11,-33,-14,-25
1639348831.27973,-52,-13,-33,-15,-25
1639348831.31098,-51,-12,-31,-15,-25
1639348831.46724,-54,-12,-32,-15,-26
1639348831.65475,-54,-15,-33,-16,-27
1639348831.71725,-53,-17,-32,-16,-27
1639348831.84226,-54,-12,-32,-15,-26
1639348832.02976,-53,-14,-32,-15,-26
1639348832.09227,-54,-14,-33,-16,-27
1639348832.21727,-55,-14,-34,-15,-27
1639348832.40478,-54,-15,-33,-16,-27
1639348832.43603,-53,-14,-33,-15,-26
1639348832.59229,-51,-15,-31,-16,-26
1639348832.7798,-52,-14,-32,-15,-26
1639348832.8423,-53,-16,-33,-16,-27
1639348832.96731,-55,-16,-35,-16,-28
1639348833.15482,-53,-16,-33,-16,-27
1639348833.34232,-52,-14,-32,-15,-26
1639348833.40483,-53,-16,-33,-16,-27
1639348833.52983,-55,-15,-35,-15,-27
1639348833.71734,-53,-15,-34,-16,-27
1639348833.74859,-53,-16,-33,-16,-27
1639348833.90485,-53,-17,-33,-16,-27
1639348834.09236,-52,-16,-34,-16,-27
1639348834.12361,-53,-17,-34,-16,-27
1639348834.27987,-53,-15,-32,-16,-27
1639348834.31112,-55,-15,-34,-15,-27
1639348834.46738,-54,-14,-33,-16,-27
1639348834.65489,-52,-16,-32,-16,-27
1639348834.71739,-55,-15,-34,-15,-27
1639348834.84239,-50,-15,-32,-15,-25
1639348835.0299,-55,-14,-34,-15,-27
1639348835.09241,-52,-14,-32,-15,-26
1639348835.21741,-57,-11,-34,-15,-27
1639348835.40492,-51,-14,-34,-15,-25
1639348835.43617,-52,-16,-34,-16,-27
1639348835.59243,-53,-13,-32,-15,-26
1639348835.77994,-53,-15,-34,-16,-27
1639348835.81119,-51,-14,-32,-15,-25
1639348835.96745,-53,-14,-32,-15,-26
1639348836.15495,-55,-14,-33,-15,-27
1639348836.21746,-54,-14,-33,-16,-27
1639348836.34246,-52,-13,-32,-15,-25
1639348836.52997,-54,-14,-34,-16,-27
1639348836.56122,-54,-16,-33,-16,-27
1639348836.71748,-53,-15,-33,-16,-27
1639348836.90499,-53,-17,-33,-16,-27
1639348837.0925,-52,-12,-31,-15,-25
1639348837.12375,-52,-14,-32,-15,-26
1639348837.28001,-54,-15,-33,-16,-27
1639348837.46752,-54,-17,-35,-16,-28
1639348837.49877,-56,-16,-36,-16,-28
1639348837.65502,-54,-13,-33,-15,-26
1639348837.84253,-50,-11,-28,-15,-24
1639348837.87378,-51,-15,-31,-16,-26
1639348838.03004,-59,-22,-43,-17,-32
1639348838.21755,-10,24,5,18,19
1639348838.2488,-1,58,4,45,45
1639348838.40506,-10,65,13,47,51
1639348838.59257,-9,60,18,44,47
1639348838.62382,1,71,25,55,55
1639348838.78008,-1,54,21,42,42
1639348838.96759,5,60,32,47,45
1639348838.99884,2,52,30,41,40
1639348839.15509,9,66,52,52,48
1639348839.3426,-2,38,42,30,30
1639348839.37385,-4,43,49,33,34
1639348839.53011,-2,38,48,30,30
1639348839.71762,1,52,34,41,41
1639348839.78012,16,42,43,33,29
1639348839.90513,1,61,12,48,48
1639348840.09264,-10,57,-18,42,45
1639348840.15514,12,62,5,48,43
1639348840.28015,-4,61,-23,46,48
1639348840.46765,-9,63,-15,45,49
1639348840.53016,-18,76,-16,51,59
1639348840.65516,-6,12,2,9,9
1639348840.84267,-7,72,-3,53,56
1639348840.90517,-24,44,-19,28,34
1639348841.03018,-33,41,-25,24,32
1639348841.21769,35,37,-26,29,21
1639348841.24894,23,31,-39,24,20
1639348841.4052,55,14,-12,27,15
1639348841.59271,55,31,-14,34,19
1639348841.65521,54,22,-14,30,17
1639348841.78022,59,29,-12,34,18
1639348841.96772,55,28,-18,32,18
1639348841.99898,57,27,-14,33,18
1639348842.15523,58,21,-14,31,17
1639348842.34274,60,25,-13,33,18
1639348842.40524,55,24,-16,31,18
1639348842.53025,52,26,-18,30,18
1639348842.71776,58,19,-10,30,16
1639348842.74901,56,20,-10,30,17
1639348842.90527,59,27,-10,34,18
1639348843.09278,58,27,-9,33,18
1639348843.12403,58,23,-9,32,17
1639348843.28028,54,18,-12,28,16
1639348843.46779,56,29,-8,33,19
1639348843.5303,52,29,-11,32,19
1639348843.6553,49,30,-12,31,19
1639348843.84281,21,45,-11,35,29
1639348843.87406,8,63,-15,49,46
1639348844.03032,-16,63,-24,43,49
1639348844.21783,-10,27,-46,19,21
1639348844.24908,-5,58,-19,43,45
1639348844.40534,-8,53,-34,38,41
1639348844.59285,-14,54,-35,37,42
1639348844.65535,-10,53,-32,38,41
1639348844.78035,-12,39,-22,27,30
1639348844.96786,-21,27,-36,18,21
1639348844.99911,-32,22,-24,16,21
1639348845.15537,-37,33,-37,19,27
1639348845.34288,-38,29,-36,18,26
1639348845.37413,-42,34,-40,20,30
1639348845.53039,-37,26,-32,18,25
1639348845.7179,-42,27,-39,18,27
1639348845.7804,-42,24,-39,17,26
1639348845.90541,-44,13,-45,14,22
1639348846.09292,-42,21,-41,17,25
1639348846.15542,-42,15,-41,15,22
1639348846.28042,-37,25,-41,17,24
1639348846.31168,-37,35,-44,20,28
1639348846.65544,-3,43,-32,33,34
1639348846.71794,22,69,3,54,45
1639348846.84295,-5,56,-25,42,44
1639348847.03046,48,49,23,38,24
1639348847.06171,46,63,26,49,31
1639348847.21797,-16,54,-29,37,42
1639348847.40548,-30,75,-28,45,59
1639348847.46798,-7,74,-10,55,58
1639348847.59298,0,42,32,33,33
1639348847.78049,18,53,12,41,35
1639348847.81174,8,36,-3,28,26
1639348847.968,-1,54,-11,42,42
1639348848.15551,-3,47,-15,36,37
1639348848.18676,-6,53,-10,39,41
