Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
12/14/2021 00:31:33.281	EXCEL (0x21A8)	0x3CBC	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Licensing.Nul.Validation.FullValidation","Flags":33777005812056321,"InternalSequenceNumber":120,"Time":"2021-12-14T00:31:33.281Z","Contract":"Office.System.Activity","Activity.CV":"Hy3Uxe7nWk+FfmnpoSREWA.24","Activity.Duration":213899,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.Mode":2,"Data.AADDeviceID":"","Data.IsExtendedOfflineEnabled":false,"Data.InstalledProducts":"O365HomePremRetail,O365ProPlusRetail","Data.Acid":"149dbce7-a48e-44db-8364-a53386cd4580","Data.Category":10,"Data.LicenseId":"EWW_86b17edb-c69b-4e2b-b595-4dde16f3837f_962caba3832832e3d4","Data.LicenseType":3,"Data.AllAcids":"149dbce7-a48e-44db-8364-a53386cd4580,","Data.DaysRemaining":0,"Data.IsExtendedLicense":false,"Data.TotalLicenseDurationInDays":91}	
12/14/2021 00:31:33.326	EXCEL (0x21A8)	0x57AC	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Canvas.GraphImport.GetAccessToken","Flags":30962256044949761,"InternalSequenceNumber":127,"Time":"2021-12-14T00:31:33.326Z","Contract":"Office.System.Activity","Activity.CV":"Hy3Uxe7nWk+FfmnpoSREWA.33","Activity.Duration":15,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":-1,"Activity.Result.Tag":37007585,"Data.FirstFetch":true,"Data.Resource":""}	
