Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639081476.59887,4,-2,61,None,None
1639081479.75526,4,-4,64,-3,-3
1639081482.7554,9,28,57,22,20
1639081485.75554,10,32,53,25,23
1639081488.75568,21,52,23,41,34
1639081491.75582,-52,26,21,18,30
1639081494.75596,8,-50,39,-39,-37
1639081497.7561,-1,-51,38,-40,-40
1639081500.75623,-3,31,55,23,24
1639081503.75637,36,41,29,32,23
1639081506.75651,36,49,23,38,27
1639081509.75665,9,-57,41,-45,-42
1639081512.75679,-2,-35,54,-27,-27
1639081515.75693,-3,-51,37,-39,-40
1639081518.94458,7,-57,33,-45,-42
1639081521.94472,-4,15,60,12,12
1639081524.94485,25,59,12,46,37
1639081527.94499,12,2,58,5,5
1639081530.94513,-7,-48,42,-36,-38
1639081533.94527,-3,-48,42,-37,-38
1639081536.94541,0,-1,62,-1,-1
1639081539.94555,-19,14,57,11,13
1639081542.94569,-43,40,9,21,32
1639081545.94583,-55,37,-22,21,36
1639081548.94597,-48,15,-40,16,25
1639081551.9461,-46,-1,-45,-12,-18
1639081554.94624,-33,28,-46,18,24
1639081557.94638,-44,41,-45,22,33
1639081560.94652,0,-61,22,-48,-48
1639081564.13417,3,-64,1,-50,-49
1639081567.13431,5,27,54,21,20
1639081569.94694,-42,43,8,23,34
1639081573.13459,0,-2,61,-2,-2
1639081576.13472,-10,10,62,7,8
